DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
1,48,2,7,3,2,606,143,3,1,3,1,2,4,10,2,5,6,2.0,4,6,6,15,3,43.0,2,2,2,15
1,48,2,7,3,2,606,143,3,1,3,1,2,4,10,2,5,6,2.0,4,6,26,15,3,30.0,1,0,2,15
1,48,2,7,3,2,606,143,3,1,3,1,2,4,10,2,5,6,2.0,4,4,26,85,3,51.0,2,2,2,15
1,60,1,7,3,2,62,143,0,1,0,2,2,4,10,2,5,1,1.0,4,4,26,85,3,51.0,2,2,2,15
1,60,1,7,3,2,62,143,0,1,0,2,2,4,10,2,5,1,1.0,4,6,26,31,3,44.0,1,0,2,16
1,72,4,7,3,2,434,143,0,1,1,2,0,4,9,1,8,3,2.0,4,6,26,31,3,44.0,1,0,2,16
1,72,4,7,3,2,434,143,0,1,1,2,0,4,9,1,8,3,2.0,4,4,26,5,7,31.0,1,0,2,9
1,72,4,7,3,2,434,143,0,1,1,2,0,4,9,1,8,3,2.0,0,6,26,110,5,44.0,1,0,2,9
1,84,7,7,3,2,407,101,0,3,1,2,1,4,9,1,8,3,2.0,1,1,26,110,5,31.0,1,1,2,9
1,84,7,7,3,2,407,101,0,3,1,2,1,4,9,1,8,3,2.0,0,1,7,31,5,33.0,1,1,2,9
1,84,7,7,3,2,407,101,0,3,1,2,1,4,9,1,8,3,2.0,0,1,7,31,5,33.0,1,1,2,9
1,96,3,7,3,2,51,39,0,3,0,2,0,3,9,1,0,3,2.0,1,2,18,31,5,31.0,2,2,2,14
1,96,3,7,3,2,51,39,0,3,0,2,0,3,9,1,0,3,2.0,3,4,26,31,5,19.0,1,3,2,14
1,96,3,7,3,2,51,39,0,3,0,2,0,3,9,1,0,3,2.0,3,4,26,31,5,19.0,1,3,2,14
1,108,5,7,3,2,33,61,0,3,1,2,0,6,9,1,5,3,2.0,0,3,11,31,5,54.0,1,2,2,15
1,108,5,7,3,2,33,61,0,3,1,2,0,6,9,1,5,3,2.0,0,4,26,31,5,37.0,1,2,2,15
1,108,5,7,3,2,33,61,0,3,1,2,0,6,9,1,5,3,2.0,0,4,26,31,5,37.0,1,2,2,15
1,120,6,7,3,2,243,99,0,3,1,2,0,4,9,1,0,3,2.0,0,4,26,31,5,37.0,1,2,2,15
1,120,6,7,3,2,243,99,0,3,1,2,0,4,9,1,0,3,2.0,4,4,26,31,5,25.0,1,2,1,16
